Token Index,ICD-9,ICD-10,ICD-10-Align-Hierarchy,SHORT-TITLE
132,E9420,T46.0X5,T46.0X,"poisoning by, adverse effect of and underdosing of cardiac-stimulant glycosides and drugs of similar action"
133,70702,L89129,L89.12,pressure ulcer of left upper back
134,8500,S060X0A,S06.0X,concussion
135,90220,S35299A,S35.29,injury of branches of celiac and mesenteric artery
136,1270,B779,B77.9,"ascariasis, unspecified"
137,3419,G379,G37.9,"demyelinating disease of central nervous system, unspecified"
138,E8918,X008XXA,X00.8,other exposure to uncontrolled fire in building or structure
139,78650,R079,R07.9,"chest pain, unspecified"
140,94320,T2260XA,T22.60,"corrosion of second degree of shoulder and upper limb, except wrist and hand, unspecified site"
141,81314,S52099C,S52.09,other fracture of upper end of ulna
142,36250,H3530,H35.30,unspecified macular degeneration
143,80015,S06338A,S06.33,"contusion and laceration of cerebrum, unspecified"
144,2859,D649,D64.9,"anemia, unspecified"
145,3442,G830,G83.0,diplegia of upper limbs
146,6950,L532,L53.2,erythema marginatum
147,20780,C9480,C94.80,other specified leukemias not having achieved remission
148,76517,P0717,P07.17,"other low birth weight newborn, 1750-1999 grams"
149,73629,M20099,M20.09,other deformity of finger(s)
150,8407,S43439A,S43.43,superior glenoid labrum lesion
151,7835,R631,R63.1,polydipsia
152,92303,S40029A,S40.02,contusion of upper arm
153,2839,D599,D59.9,"acquired hemolytic anemia, unspecified"
154,25061,E1040,E10.40,"type 1 diabetes mellitus with diabetic neuropathy, unspecified"
155,138,G14,G14,postpolio syndrome
156,29289,F19988,F19.98,"other psychoactive substance use, unspecified with other psychoactive substance-induced disorders"
157,95209,S14158A,S14.15,other incomplete lesions of cervical spinal cord
158,76508,P0718,P07.18,"other low birth weight newborn, 2000-2499 grams"
159,60490,N453,N45.3,epididymo-orchitis
160,71943,M25539,M25.53,pain in wrist
161,71904,M25449,M25.44,"effusion, hand"
162,5303,K222,K22.2,esophageal obstruction
163,9198,T07XXXA,T07,unspecified multiple injuries
164,30560,F1410,F14.10,"cocaine abuse, uncomplicated"
165,80702,S2249XA,S22.49,"multiple fractures of ribs, unspecified side"
166,8029,S0292XB,S02.92,unspecified fracture of facial bones
167,V1271,Z8711,Z87.11,personal history of peptic ulcer disease
168,6809,L0293,L02.93,"carbuncle, unspecified"
169,41404,I25810,I25.81,atherosclerosis of other coronary vessels without angina pectoris
170,6182,N812,N81.2,incomplete uterovaginal prolapse
171,E9248,X19XXXA,X19,contact with other heat and hot substances
172,514,J811,J81.1,chronic pulmonary edema
173,V045,Z23,Z23,encounter for immunization
174,25053,E1065,E10.65,type 1 diabetes mellitus with hyperglycemia
175,2191,D261,D26.1,other benign neoplasm of corpus uteri
176,87202,S01309A,S01.30,unspecified open wound of ear
177,36232,H34239,H34.23,retinal artery branch occlusion
178,6960,L4059,L40.59,other psoriatic arthropathy
179,5233,K05.3,K05.3,chronic periodontitis
180,55090,K4090,K40.90,"unilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent"
181,7242,M545,M54.5,low back pain
182,7459,Q219,Q21.9,"congenital malformation of cardiac septum, unspecified"
183,43822,I69954,I69.95,hemiplegia and hemiparesis following unspecified cerebrovascular disease
184,4789,J399,J39.9,"disease of upper respiratory tract, unspecified"
185,78071,R5382,R53.82,"chronic fatigue, unspecified"
186,80322,S066X2A,S06.6X,traumatic subarachnoid hemorrhage
187,1516,C166,C16.6,"malignant neoplasm of greater curvature of stomach, unspecified"
188,5991,N360,N36.0,urethral fistula
189,70722,L89.2,L89.2,pressure ulcer of hip
190,E8790,Y840,Y84.0,"cardiac catheterization as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
191,V3401,Z3869,Z38.69,"other multiple liveborn infant, delivered by cesarean"
192,1735,C44.5,C44.5,other and unspecified malignant neoplasm of skin of trunk
193,V3101,Z3831,Z38.31,"twin liveborn infant, delivered by cesarean"
194,45384,I82A19,I82.A1,acute embolism and thrombosis of axillary vein
195,71950,M2560,M25.60,"stiffness of unspecified joint, not elsewhere classified"
196,78729,R1319,R13.19,other dysphagia
197,30183,F603,F60.3,borderline personality disorder
198,84500,S96919A,S96.91,strain of unspecified muscle and tendon at ankle and foot level
199,85103,S06333A,S06.33,"contusion and laceration of cerebrum, unspecified"
200,V5417,S32059D,S32.05,fracture of fifth lumbar vertebra
201,07051,B1710,B17.10,acute hepatitis c without hepatic coma
202,8912,S96929A,S96.92,laceration of unspecified muscle and tendon at ankle and foot level
203,99590,R6510,R65.10,systemic inflammatory response syndrome (sirs) of non-infectious origin without acute organ dysfunction
204,3553,G5730,G57.30,"lesion of lateral popliteal nerve, unspecified lower limb"
205,8691,S3790XA,S37.90,unspecified injury of unspecified urinary and pelvic organ
206,1273,B79,B79,trichuriasis
207,1761,C461,C46.1,kaposi's sarcoma of soft tissue
208,80616,S14117A,S14.11,complete lesion of cervical spinal cord
209,75432,Q6530,Q65.30,"congenital partial dislocation of unspecified hip, unilateral"
210,33701,G9001,G90.01,carotid sinus syncope
211,87321,S0125XA,S01.25,open bite of nose
212,1105,B354,B35.4,tinea corporis
213,V451,Z99.2,Z99.2,dependence on renal dialysis
214,6173,N803,N80.3,endometriosis of pelvic peritoneum
215,2140,D170,D17.0,"benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck"
216,83813,S93326A,S93.32,subluxation and dislocation of tarsometatarsal joint
217,1986,C7960,C79.60,secondary malignant neoplasm of unspecified ovary
218,E8498,Y9289,Y92.89,other specified places as the place of occurrence of the external cause
219,8083,S32509B,S32.50,unspecified fracture of pubis
220,9778,T508X4A,T50.8X,"poisoning by, adverse effect of and underdosing of diagnostic agents"
221,81401,S62009A,S62.00,unspecified fracture of navicular [scaphoid] bone of wrist
222,73393,M84369A,M84.36,"stress fracture, tibia and fibula"
223,80476,S066X9A,S06.6X,traumatic subarachnoid hemorrhage
224,75530,Q72899,Q72.89,other reduction defects of lower limb
225,27403,M1A9XX1,M1A.9,"chronic gout, unspecified"
226,72633,M7020,M70.20,"olecranon bursitis, unspecified elbow"
227,73679,M216X9,M21.6X,other acquired deformities of foot
228,76522,P0723,P07.23,"extreme immaturity of newborn, gestational age 24 completed weeks"
229,677,O94,O94,"sequelae of complication of pregnancy, childbirth, and the puerperium"
230,82139,S72499C,S72.49,other fracture of lower end of femur
231,V1651,Z8051,Z80.51,family history of malignant neoplasm of kidney
232,87412,S11022A,S11.02,open wound of trachea
233,78605,R0602,R06.02,shortness of breath
234,86602,S37039A,S37.03,"laceration of kidney, unspecified degree"
235,3571,G63,G63,polyneuropathy in diseases classified elsewhere
236,33521,G1221,G12.21,amyotrophic lateral sclerosis
237,63411,O031,O03.1,delayed or excessive hemorrhage following incomplete spontaneous abortion
238,9001,S15309A,S15.30,unspecified injury of internal jugular vein
239,80410,S06330A,S06.33,"contusion and laceration of cerebrum, unspecified"
240,3334,G10,G10,huntington's disease
241,84512,S93529A,S93.52,sprain of metatarsophalangeal joint of toe
242,6851,L0592,L05.92,pilonidal sinus without abscess
243,2873,D69.3,D69.3,immune thrombocytopenic purpura
244,V1009,Z8509,Z85.09,personal history of malignant neoplasm of other digestive organs
245,94325,T22659A,T22.65,corrosion of second degree of shoulder
246,81503,S62359A,S62.35,nondisplaced fracture of shaft of other metacarpal bone
247,07054,B182,B18.2,chronic viral hepatitis c
248,4959,J679,J67.9,hypersensitivity pneumonitis due to unspecified organic dust
249,V5302,Z4542,Z45.42,encounter for adjustment and management of neurostimulator
250,E8528,T50.991A,T50.99,"poisoning by, adverse effect of and underdosing of other drugs, medicaments and biological substances"
251,V4989,Z789,Z78.9,other specified health status
252,83109,S43086A,S43.08,other subluxation and dislocation of shoulder joint
253,7929,R899,R89.9,"unspecified abnormal finding in specimens from other organs, systems and tissues"
254,4110,I241,I24.1,dressler's syndrome
255,V183,Z832,Z83.2,family history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
256,66942,O754,O75.4,other complications of obstetric surgery and procedures
257,30392,F1020,F10.20,"alcohol dependence, uncomplicated"
258,87320,S0125XA,S01.25,open bite of nose
259,94321,T22619A,T22.61,corrosion of second degree of forearm
260,E8581,T65.8X1,T65.8,toxic effect of other specified substances
261,7661,P081,P08.1,other heavy for gestational age newborn
262,86812,S3613XA,S36.13,injury of bile duct
263,9165,S90569A,S90.56,insect bite (nonvenomous) of ankle
264,5821,N033,N03.3,chronic nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
265,07889,B338,B33.8,other specified viral diseases
266,00845,A0472,A04.72,"enterocolitis due to clostridium difficile, not specified as recurrent"
267,1570,C250,C25.0,malignant neoplasm of head of pancreas
268,E8242,V233XXA,V23.3,"person boarding or alighting a motorcycle injured in collision with car, pick-up truck or van"
269,2848,D61.9,D61.9,"aplastic anemia, unspecified"
270,8728,S0991XA,S09.91,unspecified injury of ear
271,V850,Z681,Z68.1,"body mass index [bmi] 19.9 or less, adult"
272,66531,O713,O71.3,obstetric laceration of cervix
273,43310,I6529,I65.29,occlusion and stenosis of unspecified carotid artery
274,E9572,Y92838,Y92.83,recreation area as the place of occurrence of the external cause
275,E9178,W1809XA,W18.09,striking against other object with subsequent fall
276,07983,B343,B34.3,"parvovirus infection, unspecified"
277,V016,Z202,Z20.2,contact with and (suspected) exposure to infections with a predominantly sexual mode of transmission
278,56089,K56699,K56.69,other intestinal obstruction
279,E8709,W29.XXA,W29,contact with other powered hand tools and household machinery
280,72672,M76829,M76.82,posterior tibial tendinitis
281,V8532,Z6832,Z68.32,"body mass index [bmi] 32.0-32.9, adult"
282,83202,S53026A,S53.02,posterior subluxation and dislocation of radial head
283,E9340,T45.4X,T45.4X,"poisoning by, adverse effect of and underdosing of iron and its compounds"
284,E8249,V888XXA,V88.8,"person injured in other specified noncollision transport accidents involving motor vehicle, nontraffic"
285,99709,G9782,G97.82,other postprocedural complications and disorders of nervous system
286,4770,J301,J30.1,allergic rhinitis due to pollen
287,1725,D0359,D03.59,melanoma in situ of other part of trunk
288,E8180,V485XXA,V48.5,car driver injured in noncollision transport accident in traffic accident
289,37652,H05429,H05.42,enophthalmos due to trauma or surgery
290,86351,S36500A,S36.50,unspecified injury of colon
291,20000,C8339,C83.39,"diffuse large b-cell lymphoma, extranodal and solid organ sites"
292,71102,M00829,M00.82,"arthritis due to other bacteria, elbow"
293,4847,J17,J17,pneumonia in diseases classified elsewhere
294,3960,I080,I08.0,rheumatic disorders of both mitral and aortic valves
295,27941,D8982,D89.82,autoimmune lymphoproliferative syndrome [alps]
296,E8552,T44.3X,T44.3X,"poisoning by, adverse effect of and underdosing of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics"
297,33384,G2589,G25.89,other specified extrapyramidal and movement disorders
298,28412,D61811,D61.81,pancytopenia
299,4375,I675,I67.5,moyamoya disease
300,72291,M5090,M50.90,"cervical disc disorder, unspecified, unspecified cervical region"
301,9110,S30817A,S30.81,"abrasion of abdomen, lower back, pelvis and external genitals"
302,72400,M4800,M48.00,"spinal stenosis, site unspecified"
303,52101,K0261,K02.61,dental caries on smooth surface limited to enamel
304,8471,S238XXA,S23.8,sprain of other specified parts of thorax
305,40599,I158,I15.8,other secondary hypertension
306,01190,A150,A15.0,tuberculosis of lung
307,30470,F1920,F19.20,"other psychoactive substance dependence, uncomplicated"
308,8068,S34139A,S34.13,other and unspecified injury to sacral spinal cord
309,33523,G128,G12.8,other spinal muscular atrophies and related syndromes
310,75219,Q506,Q50.6,other congenital malformations of fallopian tube and broad ligament
311,7197,R262,R26.2,"difficulty in walking, not elsewhere classified"
312,98989,T65894A,T65.89,toxic effect of other specified substances
313,64881,O24425,O24.42,gestational diabetes mellitus in childbirth
314,2730,D890,D89.0,polyclonal hypergammaglobulinemia
315,V8522,Z6826,Z68.26,"body mass index [bmi] 26.0-26.9, adult"
316,83200,S53106A,S53.10,unspecified subluxation and dislocation of ulnohumeral joint
317,75612,Q762,Q76.2,congenital spondylolisthesis
318,80375,S066X8A,S06.6X,traumatic subarachnoid hemorrhage
319,E9343,T46.0X5,T46.0X,"poisoning by, adverse effect of and underdosing of cardiac-stimulant glycosides and drugs of similar action"
320,1469,C109,C10.9,"malignant neoplasm of oropharynx, unspecified"
321,73819,M952,M95.2,other acquired deformity of head
322,6948,L138,L13.8,other specified bullous disorders
323,V153,Z923,Z92.3,personal history of irradiation
324,38022,H60599,H60.59,other noninfective acute otitis externa
325,07022,B181,B18.1,chronic viral hepatitis b without delta-agent
326,E8529,T39.3X1A,T39.3,"poisoning by, adverse effect of and underdosing of other nonsteroidal anti-inflammatory drugs [nsaid]"
327,92619,S280XXA,S28.0,crushed chest
328,E9338,T50.9X5,T50.9,"poisoning by, adverse effect of and underdosing of other and unspecified drugs, medicaments and biological substances"
329,78951,R180,R18.0,malignant ascites
330,20152,C8112,C81.12,"nodular sclerosis hodgkin lymphoma, intrathoracic lymph nodes"
331,74860,Q339,Q33.9,"congenital malformation of lung, unspecified"
332,2513,E891,E89.1,postprocedural hypoinsulinemia
333,47822,J390,J39.0,retropharyngeal and parapharyngeal abscess
334,3181,F72,F72,severe intellectual disabilities
335,74681,Q244,Q24.4,congenital subaortic stenosis
336,30742,F5109,F51.09,other insomnia not due to a substance or known physiological condition
337,30723,F952,F95.2,tourette's disorder
338,V1047,Z8547,Z85.47,personal history of malignant neoplasm of testis
339,71615,M12559,M12.55,"traumatic arthropathy, hip"
340,E9132,W22.XXA,W22,striking against or struck by other objects
341,00863,A0811,A08.11,acute gastroenteropathy due to norwalk agent
342,65444,O34593,O34.59,maternal care for other abnormalities of gravid uterus
343,72141,M4714,M47.14,"other spondylosis with myelopathy, thoracic region"
344,E8762,Y652,Y65.2,failure in suture or ligature during surgical operation
345,V5413,S72146D,S72.14,intertrochanteric fracture of femur
346,28262,D5700,D57.00,"hb-ss disease with crisis, unspecified"
347,34402,G8252,G82.52,"quadriplegia, c1-c4 incomplete"
348,8861,S68629A,S68.62,partial traumatic transphalangeal amputation of other and unspecified finger
349,8209,S72009C,S72.00,fracture of unspecified part of neck of femur
350,45372,I82729,I82.72,chronic embolism and thrombosis of deep veins of upper extremity
351,V1012,Z8512,Z85.12,personal history of malignant neoplasm of trachea
352,36800,H53009,H53.00,unspecified amblyopia
353,53270,K267,K26.7,chronic duodenal ulcer without hemorrhage or perforation
354,19882,C7982,C79.82,secondary malignant neoplasm of genital organs
355,81202,S42295A,S42.29,other fracture of upper end of humerus
356,E9538,X71.8,X71.8,other intentional self-harm by drowning and submersion
357,9221,S20219A,S20.21,contusion of front wall of thorax
358,80196,S02109B,S02.10,unspecified fracture of base of skull
359,587,N269,N26.9,"renal sclerosis, unspecified"
360,28240,D569,D56.9,"thalassemia, unspecified"
361,1914,C714,C71.4,malignant neoplasm of occipital lobe
362,1514,C162,C16.2,malignant neoplasm of body of stomach
363,4371,I6789,I67.89,other cerebrovascular disease
364,1363,B59,B59,pneumocystosis
365,83402,S63299A,S63.29,dislocation of distal interphalangeal joint of finger
366,1917,C717,C71.7,malignant neoplasm of brain stem
367,1123,B372,B37.2,candidiasis of skin and nail
368,7104,M3320,M33.20,"polymyositis, organ involvement unspecified"
369,64793,O98913,O98.91,unspecified maternal infectious and parasitic disease complicating pregnancy
370,1463,C100,C10.0,malignant neoplasm of vallecula
371,2821,D581,D58.1,hereditary elliptocytosis
372,2707,E728,E72.8,other specified disorders of amino-acid metabolism
373,75615,Q7649,Q76.49,"other congenital malformations of spine, not associated with scoliosis"
374,85305,S06368A,S06.36,"traumatic hemorrhage of cerebrum, unspecified"
375,52340,K0530,K05.30,"chronic periodontitis, unspecified"
376,3108,F07.9,F07.9,unspecified personality and behavioral disorder due to known physiological condition
377,85306,S06369A,S06.36,"traumatic hemorrhage of cerebrum, unspecified"
378,55000,K4040,K40.40,"unilateral inguinal hernia, with gangrene, not specified as recurrent"
379,E8786,Y836,Y83.6,"removal of other organ (partial) (total) as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
380,4660,J209,J20.9,"acute bronchitis, unspecified"
381,67414,O900,O90.0,disruption of cesarean delivery wound
382,3526,G527,G52.7,disorders of multiple cranial nerves
383,45829,I9581,I95.81,postprocedural hypotension
384,3480,G930,G93.0,cerebral cysts
385,82521,S92109A,S92.10,unspecified fracture of talus
386,8785,S3142XA,S31.42,laceration with foreign body of vagina and vulva
387,80129,S02109A,S02.10,unspecified fracture of base of skull
388,72409,M4808,M48.08,"spinal stenosis, sacral and sacrococcygeal region"
389,64204,O1093,O10.93,unspecified pre-existing hypertension complicating the puerperium
390,4416,I715,I71.5,"thoracoabdominal aortic aneurysm, ruptured"
391,V4577,Z9079,Z90.79,acquired absence of other genital organ(s)
392,43810,I69928,I69.92,speech and language deficits following unspecified cerebrovascular disease
393,34210,G8110,G81.10,spastic hemiplegia affecting unspecified side
394,9249,T1490XA,T14.90,"injury, unspecified"
395,E918,W230XXA,W23.0,"caught, crushed, jammed, or pinched between moving objects"
396,78199,R2991,R29.91,unspecified symptoms and signs involving the musculoskeletal system
397,1984,C7949,C79.49,secondary malignant neoplasm of other parts of nervous system
398,9972,T8172XA,T81.72,"complication of vein following a procedure, not elsewhere classified"
399,75989,Q8782,Q87.82,arterial tortuosity syndrome
400,94204,T2143XA,T21.43,corrosion of unspecified degree of upper back
401,58189,N048,N04.8,nephrotic syndrome with other morphologic changes
402,47871,J387,J38.7,other diseases of larynx
403,03811,A4101,A41.01,sepsis due to methicillin susceptible staphylococcus aureus
404,5733,K759,K75.9,"inflammatory liver disease, unspecified"
405,36812,H53129,H53.12,transient visual loss
406,37603,H05029,H05.02,osteomyelitis of orbit
407,41519,I2699,I26.99,other pulmonary embolism without acute cor pulmonale
408,V1011,Z85118,Z85.11,personal history of malignant neoplasm of bronchus and lung
409,47875,J385,J38.5,laryngeal spasm
410,E9581,X76XXXA,X76,"intentional self-harm by smoke, fire and flames"
411,5307,K226,K22.6,gastro-esophageal laceration-hemorrhage syndrome
412,E8609,T51.9,T51.9,toxic effect of unspecified alcohol
413,47412,J352,J35.2,hypertrophy of adenoids
414,86345,S3660XA,S36.60,unspecified injury of rectum
415,73301,M810,M81.0,age-related osteoporosis without current pathological fracture
416,78096,R52,R52,"pain, unspecified"
417,3393,G4441,G44.41,"drug-induced headache, not elsewhere classified, intractable"
418,V1253,Z8674,Z86.74,personal history of sudden cardiac arrest
419,56721,K650,K65.0,generalized (acute) peritonitis
420,1418,C028,C02.8,malignant neoplasm of overlapping sites of tongue
421,28850,D72819,D72.81,decreased white blood cell count
422,38922,H906,H90.6,"mixed conductive and sensorineural hearing loss, bilateral"
423,81381,S5290XA,S52.90,unspecified fracture of unspecified forearm
424,75261,Q549,Q54.9,"hypospadias, unspecified"
425,E0138,Y93E8,Y93.E8,"activity, other personal hygiene"
426,6270,N924,N92.4,excessive bleeding in the premenopausal period
427,7211,M4712,M47.12,"other spondylosis with myelopathy, cervical region"
428,V1252,Z8672,Z86.72,personal history of thrombophlebitis
429,2818,D538,D53.8,other specified nutritional anemias
430,V503,Z413,Z41.3,encounter for ear piercing
431,86383,S36202A,S36.20,unspecified injury of pancreas
432,01193,A150,A15.0,tuberculosis of lung
433,4732,J322,J32.2,chronic ethmoidal sinusitis
434,53570,K5281,K52.81,eosinophilic gastritis or gastroenteritis
435,07031,B161,B16.1,acute hepatitis b with delta-agent without hepatic coma
436,8241,S8256XC,S82.56,nondisplaced fracture of medial malleolus of unspecified tibia
437,V6109,Z638,Z63.8,other specified problems related to primary support group
