Token Index,ICD-9,ICD-10,ICD-10-Align-Hierarchy,SHORT-TITLE
54,4660,J209,J20.9,"acute bronchitis, unspecified"
55,23871,D473,D47.3,essential (hemorrhagic) thrombocythemia
56,0412,B953,B95.3,streptococcus pneumoniae as the cause of diseases classified elsewhere
57,85301,S06360A,S06.36,"traumatic hemorrhage of cerebrum, unspecified"
58,72291,M5090,M50.90,"cervical disc disorder, unspecified, unspecified cervical region"
59,53783,K31811,K31.81,angiodysplasia of stomach and duodenum
60,1280,B830,B83.0,visceral larva migrans
61,94426,T23669A,T23.66,corrosion of second degree of back of hand
62,36615,H25019,H25.01,cortical age-related cataract
63,41411,I2541,I25.41,coronary artery aneurysm
64,64614,O1225,O12.25,"gestational edema with proteinuria, complicating the puerperium"
65,5276,K116,K11.6,mucocele of salivary gland
66,61803,N810,N81.0,urethrocele
67,E8259,V890XXA,V89.0,"person injured in unspecified motor-vehicle accident, nontraffic"
68,5193,J9859,J98.59,"other diseases of mediastinum, not elsewhere classified"
69,72767,M66369,M66.36,"spontaneous rupture of flexor tendons, lower leg"
70,65442,O34593,O34.59,maternal care for other abnormalities of gravid uterus
71,6170,N800,N80.0,endometriosis of uterus
72,20700,C9400,C94.00,"acute erythroid leukemia, not having achieved remission"
73,36100,H33009,H33.00,unspecified retinal detachment with retinal break
74,46431,J0511,J05.11,acute epiglottitis with obstruction
75,3941,I051,I05.1,rheumatic mitral insufficiency
76,78491,R0982,R09.82,postnasal drip
77,42981,I5189,I51.89,other ill-defined heart diseases
78,73671,M21549,M21.54,acquired clubfoot
79,33371,G803,G80.3,athetoid cerebral palsy
80,73026,M869,M86.9,"osteomyelitis, unspecified"
81,64823,O99013,O99.01,anemia complicating pregnancy
82,5670,K67,K67,disorders of peritoneum in infectious diseases classified elsewhere
83,04185,B9689,B96.89,other specified bacterial agents as the cause of diseases classified elsewhere
84,9075,S9490XS,S94.90,"injury of unspecified nerve at ankle and foot level, unspecified leg"
85,34402,G8252,G82.52,"quadriplegia, c1-c4 incomplete"
86,81509,S62399A,S62.39,other fracture of other metacarpal bone
87,6071,N481,N48.1,balanitis
88,85203,S066X4A,S06.6X,traumatic subarachnoid hemorrhage
89,7675,P113,P11.3,birth injury to facial nerve
90,27652,E861,E86.1,hypovolemia
91,6982,L282,L28.2,other prurigo
92,9176,S90859A,S90.85,superficial foreign body of foot
93,41041,I2119,I21.19,st elevation (stemi) myocardial infarction involving other coronary artery of inferior wall
94,01191,A150,A15.0,tuberculosis of lung
95,20412,C9112,C91.12,chronic lymphocytic leukemia of b-cell type in relapse
96,03289,A3689,A36.89,other diphtheritic complications
97,70909,L818,L81.8,other specified disorders of pigmentation
98,7915,R81,R81,glycosuria
99,E895,X028XXA,X02.8,other exposure to controlled fire in building or structure
100,8910,S91009A,S91.00,unspecified open wound of ankle
101,71534,M189,M18.9,"osteoarthritis of first carpometacarpal joint, unspecified"
102,73620,M20009,M20.00,unspecified deformity of finger(s)
103,3674,H524,H52.4,presbyopia
104,1618,C328,C32.8,malignant neoplasm of overlapping sites of larynx
105,78055,G4720,G47.20,"circadian rhythm sleep disorder, unspecified type"
106,49381,J45990,J45.99,other asthma
107,65973,O76,O76,abnormality in fetal heart rate and rhythm complicating labor and delivery
108,3432,G800,G80.0,spastic quadriplegic cerebral palsy
109,45350,I82599,I82.59,chronic embolism and thrombosis of other specified deep vein of lower extremity
110,64661,O2393,O23.93,"unspecified genitourinary tract infection in pregnancy, third trimester"
111,34839,I6783,I67.83,posterior reversible encephalopathy syndrome
112,71230,M1120,M11.20,"other chondrocalcinosis, unspecified site"
113,66604,O720,O72.0,third-stage hemorrhage
114,5178,J99,J99,respiratory disorders in diseases classified elsewhere
115,6243,N9069,N90.69,other specified hypertrophy of vulva
116,87333,S0124XA,S01.24,puncture wound with foreign body of nose
117,35800,G7000,G70.00,myasthenia gravis without (acute) exacerbation
118,40493,I132,I13.2,"hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease"
119,36213,H35019,H35.01,changes in retinal vascular appearance
120,43813,I69922,I69.92,speech and language deficits following unspecified cerebrovascular disease
121,E9582,X772XXA,X77.2,intentional self-harm by other hot fluids
122,2760,E870,E87.0,hyperosmolality and hypernatremia
123,7566,Q791,Q79.1,other congenital malformations of diaphragm
124,E9324,T50.9X5,T50.9,"poisoning by, adverse effect of and underdosing of other and unspecified drugs, medicaments and biological substances"
125,75329,Q6211,Q62.11,congenital occlusion of ureteropelvic junction
126,36617,H2589,H25.89,other age-related cataract
127,85302,S06362A,S06.36,"traumatic hemorrhage of cerebrum, unspecified"
128,1911,C711,C71.1,malignant neoplasm of frontal lobe
129,0050,A050,A05.0,foodborne staphylococcal intoxication
130,E0052,Y9343,Y93.43,"activity, gymnastics"
131,E977,Y3593XS,Y35.93,"legal intervention, means unspecified, suspect injured"
132,47822,J390,J39.0,retropharyngeal and parapharyngeal abscess
133,80507,S12601A,S12.60,unspecified fracture of seventh cervical vertebra
134,20402,C9102,C91.02,"acute lymphoblastic leukemia, in relapse"
135,7815,R683,R68.3,clubbing of fingers
136,8730,S0100XA,S01.00,unspecified open wound of scalp
137,65371,O337XX9,O33.7,maternal care for disproportion due to other fetal deformities
138,83901,S13111A,S13.11,subluxation and dislocation of c0/c1 cervical vertebrae
139,8065,S34129A,S34.12,incomplete lesion of lumbar spinal cord
140,63380,O0080,O00.80,other ectopic pregnancy without intrauterine pregnancy
141,36859,H5359,H53.59,other color vision deficiencies
142,71223,M11839,M11.83,"other specified crystal arthropathies, wrist"
143,69513,L511,L51.1,stevens-johnson syndrome
144,71855,M24659,M24.65,"ankylosis, hip"
145,1580,C480,C48.0,malignant neoplasm of retroperitoneum
146,79571,R75,R75,inconclusive laboratory evidence of human immunodeficiency virus [hiv]
147,59010,N10,N10,acute pyelonephritis
148,56881,K661,K66.1,hemoperitoneum
149,3006,F481,F48.1,depersonalization-derealization syndrome
150,V252,Z302,Z30.2,encounter for sterilization
151,80606,S14117A,S14.11,complete lesion of cervical spinal cord
152,71824,M24349,M24.34,"pathological dislocation of hand, not elsewhere classified"
153,V0751,Z79810,Z79.81,long term (current) use of agents affecting estrogen receptors and estrogen levels
154,V1255,Z86711,Z86.71,personal history of venous thrombosis and embolism
155,81011,S42019B,S42.01,fracture of sternal end of clavicle
156,53311,K271,K27.1,"acute peptic ulcer, site unspecified, with perforation"
157,V0950,Z1623,Z16.23,resistance to quinolones and fluoroquinolones
158,3670,H5203,H52.03,"hypermetropia, bilateral"
159,66911,O751,O75.1,shock during or following labor and delivery
160,2893,I889,I88.9,"nonspecific lymphadenitis, unspecified"
161,E8542,T43.0X3A,T43.0,"poisoning by, adverse effect of and underdosing of tricyclic and tetracyclic antidepressants"
162,7933,R932,R93.2,abnormal findings on diagnostic imaging of liver and biliary tract
163,20208,C8298,C82.98,"follicular lymphoma, unspecified, lymph nodes of multiple sites"
164,11599,B399,B39.9,"histoplasmosis, unspecified"
165,8472,S335XXA,S33.5,sprain of ligaments of lumbar spine
166,53012,K209,K20.9,"esophagitis, unspecified"
167,1821,C540,C54.0,malignant neoplasm of isthmus uteri
168,5942,N211,N21.1,calculus in urethra
169,62212,N871,N87.1,moderate cervical dysplasia
170,80001,S020XXA,S02.0,fracture of vault of skull
171,7135,M1460,M14.60,"charcot's joint, unspecified site"
172,5644,K9189,K91.89,other postprocedural complications and disorders of digestive system
173,0389,A419,A41.9,"sepsis, unspecified organism"
174,66951,O665,O66.5,attempted application of vacuum extractor and forceps
175,82122,S72446A,S72.44,fracture of lower epiphysis (separation) of femur
176,8250,S99099A,S99.09,other physeal fracture of calcaneus
177,25513,E2681,E26.81,bartter's syndrome
178,E9259,W868XXA,W86.8,exposure to other electric current
179,E8288,V889XXA,V88.9,"person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle, nontraffic"
180,E9334,T45.3X5A,T45.3X,"poisoning by, adverse effect of and underdosing of enzymes"
181,7931,R91.8,R91.8,other nonspecific abnormal finding of lung field
182,94421,T23629A,T23.62,corrosion of second degree of single finger (nail) except thumb
183,53410,K281,K28.1,acute gastrojejunal ulcer with perforation
184,52100,K029,K02.9,"dental caries, unspecified"
185,20287,C8587,C85.87,"other specified types of non-hodgkin lymphoma, spleen"
186,0929,A515,A51.5,"early syphilis, latent"
187,94111,T20519A,T20.51,"corrosion of first degree of ear [any part, except ear drum]"
188,7828,R234,R23.4,changes in skin texture
189,79922,R454,R45.4,irritability and anger
190,36531,H4060X0,H40.60,"glaucoma secondary to drugs, unspecified eye"
191,1726,D0362,D03.62,"melanoma in situ of left upper limb, including shoulder"
192,7932,R938,R93.8,abnormal findings on diagnostic imaging of other specified body structures
193,29181,F10239,F10.23,alcohol dependence with withdrawal
194,E8190,V499XXA,V49.9,car occupant (driver) (passenger) injured in unspecified traffic accident
195,5303,K222,K22.2,esophageal obstruction
196,V237,O0930,O09.30,"supervision of pregnancy with insufficient antenatal care, unspecified trimester"
197,3240,G060,G06.0,intracranial abscess and granuloma
198,34551,G40119,G40.11,"localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable"
199,62130,N8500,N85.00,"endometrial hyperplasia, unspecified"
200,3535,G545,G54.5,neuralgic amyotrophy
201,E8121,V4959XA,V49.59,passenger injured in collision with other motor vehicles in traffic accident
202,01320,A1781,A17.81,tuberculoma of brain and spinal cord
203,V1088,Z85858,Z85.85,personal history of malignant neoplasm of endocrine glands
204,81610,S62609B,S62.60,fracture of unspecified phalanx of finger
205,71659,M130,M13.0,"polyarthritis, unspecified"
206,E9401,T50.7X,T50.7X,"poisoning by, adverse effect of and underdosing of analeptics and opioid receptor antagonists"
207,E9399,T43.505A,T43.50,"poisoning by, adverse effect of and underdosing of unspecified antipsychotics and neuroleptics"
208,7320,M4200,M42.00,"juvenile osteochondrosis of spine, site unspecified"
209,64301,O210,O21.0,mild hyperemesis gravidarum
210,E9480,T50.8X,T50.8X,"poisoning by, adverse effect of and underdosing of diagnostic agents"
211,5370,K311,K31.1,adult hypertrophic pyloric stenosis
212,V9012,Z1812,Z18.12,retained nonmagnetic metal fragments
213,3949,I058,I05.8,other rheumatic mitral valve diseases
214,5529,K460,K46.0,"unspecified abdominal hernia with obstruction, without gangrene"
215,40211,I110,I11.0,hypertensive heart disease with heart failure
216,8404,S43429A,S43.42,sprain of rotator cuff capsule
217,5731,K77,K77,liver disorders in diseases classified elsewhere
218,E899,X088XXA,X08.8,"exposure to other specified smoke, fire and flames"
219,74519,Q208,Q20.8,other congenital malformations of cardiac chambers and connections
220,5258,K0889,K08.89,other specified disorders of teeth and supporting structures
221,29614,F302,F30.2,"manic episode, severe with psychotic symptoms"
222,8841,S41029A,S41.02,laceration with foreign body of shoulder
223,2468,E0789,E07.89,other specified disorders of thyroid
224,72743,M6740,M67.40,"ganglion, unspecified site"
225,7171,M23319,M23.31,"other meniscus derangements, anterior horn of medial meniscus"
226,70710,L97909,L97.90,non-pressure chronic ulcer of unspecified part of unspecified lower leg
227,44032,I70599,I70.59,other atherosclerosis of nonautologous biological bypass graft(s) of the extremities
228,0538,B028,B02.8,zoster with other complications
229,55229,K436,K43.6,"other and unspecified ventral hernia with obstruction, without gangrene"
230,66341,O693XX0,O69.3,labor and delivery complicated by short cord
231,78605,R0602,R06.02,shortness of breath
232,7470,Q250,Q25.0,patent ductus arteriosus
233,E8811,W12XXXA,W12,fall on and from scaffolding
234,4572,I891,I89.1,lymphangitis
235,20881,C9591,C95.91,"leukemia, unspecified, in remission"
236,5360,K3183,K31.83,achlorhydria
237,17359,C44599,C44.59,other specified malignant neoplasm of skin of trunk
238,9243,S90229A,S90.22,contusion of lesser toe with damage to nail
239,V1272,Z86010,Z86.01,personal history of benign neoplasm
240,V602,Z595,Z59.5,extreme poverty
241,4281,I501,I50.1,"left ventricular failure, unspecified"
242,64651,O2343,O23.43,"unspecified infection of urinary tract in pregnancy, third trimester"
243,36514,Q150,Q15.0,congenital glaucoma
244,0319,A319,A31.9,"mycobacterial infection, unspecified"
245,66451,O717,O71.7,obstetric hematoma of pelvis
246,45119,I80209,I80.20,phlebitis and thrombophlebitis of unspecified deep vessels of lower extremities
247,81402,S62126A,S62.12,fracture of lunate [semilunar]
248,9511,S0420XA,S04.20,"injury of trochlear nerve, unspecified side"
249,2113,K635,K63.5,polyp of colon
250,1910,C710,C71.0,"malignant neoplasm of cerebrum, except lobes and ventricles"
251,1125,B377,B37.7,candidal sepsis
252,72764,M66349,M66.34,"spontaneous rupture of flexor tendons, hand"
253,8076,S128XXA,S12.8,fracture of other parts of neck
254,34200,G8100,G81.00,flaccid hemiplegia affecting unspecified side
255,88023,S46929A,S46.92,"laceration of unspecified muscle, fascia and tendon at shoulder and upper arm level"
256,29544,F2081,F20.81,schizophreniform disorder
257,66001,O649XX0,O64.9,"obstructed labor due to malposition and malpresentation, unspecified"
258,29630,F339,F33.9,"major depressive disorder, recurrent, unspecified"
259,5582,K521,K52.1,toxic gastroenteritis and colitis
260,36251,H353194,H35.31,nonexudative age-related macular degeneration
261,4800,J120,J12.0,adenoviral pneumonia
262,28851,D72810,D72.81,decreased white blood cell count
263,E9059,T71.51XA,T71,asphyxiation
264,71645,M12859,M12.85,"other specific arthropathies, not elsewhere classified, hip"
265,64612,O1224,O12.24,"gestational edema with proteinuria, complicating childbirth"
266,4613,J0130,J01.30,"acute sphenoidal sinusitis, unspecified"
267,06641,A9231,A92.31,west nile virus infection with encephalitis
268,87412,S11022A,S11.02,open wound of trachea
269,E0299,Y9385,Y93.85,"activity, choking game"
270,7936,R935,R93.5,"abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum"
271,71530,M1990,M19.90,"unspecified osteoarthritis, unspecified site"
272,9066,T23479S,T23.47,corrosion of unspecified degree of wrist
273,72762,M66829,M66.82,"spontaneous rupture of other tendons, upper arm"
274,V4321,Z95811,Z95.81,presence of other cardiac implants and grafts
275,74732,Q2572,Q25.72,congenital pulmonary arteriovenous malformation
276,71958,M2560,M25.60,"stiffness of unspecified joint, not elsewhere classified"
277,1838,C574,C57.4,"malignant neoplasm of uterine adnexa, unspecified"
278,5854,N184,N18.4,"chronic kidney disease, stage 4 (severe)"
279,1123,B372,B37.2,candidiasis of skin and nail
280,V5419,S0282XD,S02.82,"fracture of other specified skull and facial bones, left side"
281,5439,K389,K38.9,"disease of appendix, unspecified"
282,99529,T50Z95A,T50.Z9,"poisoning by, adverse effect of and underdosing of other vaccines and biological substances"
283,66211,O639,O63.9,"long labor, unspecified"
284,E9454,T43.505A,T43.50,"poisoning by, adverse effect of and underdosing of unspecified antipsychotics and neuroleptics"
285,79509,R87820,R87.82,low risk human papillomavirus (hpv) dna test positive from female genital organs
286,3149,F909,F90.9,"attention-deficit hyperactivity disorder, unspecified type"
287,8243,S8266XC,S82.66,nondisplaced fracture of lateral malleolus of unspecified fibula
288,29633,F332,F33.2,"major depressive disorder, recurrent severe without psychotic features"
289,46430,J0510,J05.10,acute epiglottitis without obstruction
290,319,F79,F79,unspecified intellectual disabilities
291,V1203,Z8613,Z86.13,personal history of malaria
292,49300,J4520,J45.20,"mild intermittent asthma, uncomplicated"
293,70701,L89009,L89.00,pressure ulcer of unspecified elbow
294,30749,F518,F51.8,other sleep disorders not due to a substance or known physiological condition
295,9729,T46994A,T46.99,"poisoning by, adverse effect of and underdosing of other agents primarily affecting the cardiovascular system"
296,65221,O321XX0,O32.1,maternal care for breech presentation
297,63501,O0487,O04.87,sepsis following (induced) termination of pregnancy
298,66704,O730,O73.0,retained placenta without hemorrhage
299,1820,C549,C54.9,"malignant neoplasm of corpus uteri, unspecified"
300,7969,R6889,R68.89,other general symptoms and signs
301,71985,M25859,M25.85,"other specified joint disorders, hip"
302,9599,T1490XA,T14.90,"injury, unspecified"
303,86403,S36115A,S36.11,injury of liver
304,2304,D012,D01.2,carcinoma in situ of rectum
305,99676,T839XXA,T83.9,"unspecified complication of genitourinary prosthetic device, implant and graft"
306,67484,O9089,O90.89,"other complications of the puerperium, not elsewhere classified"
307,57149,K738,K73.8,"other chronic hepatitis, not elsewhere classified"
308,30651,F525,F52.5,vaginismus not due to a substance or known physiological condition
309,85406,S069X9A,S06.9X,unspecified intracranial injury
310,64191,O679,O67.9,"intrapartum hemorrhage, unspecified"
311,7563,Q772,Q77.2,short rib syndrome
312,5641,K588,K58.8,other irritable bowel syndrome
313,31223,F912,F91.2,"conduct disorder, adolescent-onset type"
314,29411,F0281,F02.81,"dementia in other diseases classified elsewhere, unspecified severity, with behavioral disturbance"
315,E8353,V9339XA,V93.39,fall on board unspecified watercraft
316,74609,Q222,Q22.2,congenital pulmonary valve insufficiency
317,5519,K461,K46.1,unspecified abdominal hernia with gangrene
318,5121,J95811,J95.81,postprocedural pneumothorax and air leak
319,78701,R112,R11.2,"nausea with vomiting, unspecified"
320,99659,T85698A,T85.69,"other mechanical complication of other specified internal prosthetic devices, implants and grafts"
321,V771,Z131,Z13.1,encounter for screening for diabetes mellitus
322,42732,I4892,I48.92,unspecified atrial flutter
323,69283,L2481,L24.81,irritant contact dermatitis due to metals
324,83920,S33101A,S33.10,subluxation and dislocation of unspecified lumbar vertebra
325,7311,M9060,M90.60,"osteitis deformans in neoplastic diseases, unspecified site"
326,48889,J09X9,J09.X9,influenza due to identified novel influenza a virus with other manifestations
327,75569,Q742,Q74.2,"other congenital malformations of lower limb(s), including pelvic girdle"
328,44629,M310,M31.0,hypersensitivity angiitis
329,51902,J9503,J95.03,malfunction of tracheostomy stoma
330,20270,C8449,C84.49,"peripheral t-cell lymphoma, not elsewhere classified, extranodal and solid organ sites"
331,7099,L989,L98.9,"disorder of the skin and subcutaneous tissue, unspecified"
332,1269,B769,B76.9,"hookworm disease, unspecified"
333,1722,D0322,D03.22,melanoma in situ of left ear and external auricular canal
334,81383,S5290XA,S52.90,unspecified fracture of unspecified forearm
335,3526,G527,G52.7,disorders of multiple cranial nerves
336,29620,F329,F32.9,"major depressive disorder, single episode, unspecified"
337,45181,I80219,I80.21,phlebitis and thrombophlebitis of iliac vein
338,8731,S0102XA,S01.02,laceration with foreign body of scalp
339,71481,M0510,M05.10,rheumatoid lung disease with rheumatoid arthritis of unspecified site
340,28861,D72820,D72.82,elevated white blood cell count
341,20490,C9190,C91.90,"lymphoid leukemia, unspecified not having achieved remission"
342,4722,J311,J31.1,chronic nasopharyngitis
343,V0990,Z1630,Z16.30,resistance to unspecified antimicrobial drugs
344,E8531,T39.3X1A,T39.3,"poisoning by, adverse effect of and underdosing of other nonsteroidal anti-inflammatory drugs [nsaid]"
345,E9029,W99XXXA,W99,exposure to other man-made environmental factors
346,53781,K313,K31.3,"pylorospasm, not elsewhere classified"
347,43814,I69923,I69.92,speech and language deficits following unspecified cerebrovascular disease
348,7993,R5381,R53.81,other malaise
349,9289,S7720XA,S77.20,crushing injury of unspecified hip with thigh
350,8245,S82846C,S82.84,bimalleolar fracture of lower leg
351,1944,C753,C75.3,malignant neoplasm of pineal gland
352,V1201,Z8611,Z86.11,personal history of tuberculosis
353,V585,Z464,Z46.4,encounter for fitting and adjustment of orthodontic device
354,4358,G458,G45.8,other transient cerebral ischemic attacks and related syndromes
355,20170,C8139,C81.39,"lymphocyte depleted hodgkin lymphoma, extranodal and solid organ sites"
356,36220,H35109,H35.10,"retinopathy of prematurity, unspecified"
357,88111,S51029A,S51.02,laceration with foreign body of elbow
358,42293,I408,I40.8,other acute myocarditis
359,3068,F59,F59,unspecified behavioral syndromes associated with physiological disturbances and physical factors
360,E8581,T65.8X1,T65.8,toxic effect of other specified substances
361,66103,O620,O62.0,primary inadequate contractions
362,E9804,T50.905A,T50.90,"poisoning by, adverse effect of and underdosing of unspecified drugs, medicaments and biological substances"
363,20721,C9421,C94.21,"acute megakaryoblastic leukemia, in remission"
364,V851,Z6824,Z68.24,"body mass index [bmi] 24.0-24.9, adult"
365,9118,S3098XA,S30.98,unspecified superficial injury of anus
366,30150,F604,F60.4,histrionic personality disorder
367,V1581,Z9119,Z91.19,patient's noncompliance with other medical treatment and regimen
368,53909,K9509,K95.09,other complications of gastric band procedure
369,86100,S2699XA,S26.99,"other injury of heart, unspecified with or without hemopericardium"
370,99811,I97620,I97.62,"postprocedural hemorrhage, hematoma and seroma of a circulatory system organ or structure following other procedure"
371,65444,O34593,O34.59,maternal care for other abnormalities of gravid uterus
372,60884,N5089,N50.89,other specified disorders of the male genital organs
373,1500,C153,C15.3,malignant neoplasm of upper third of esophagus
374,71849,M2450,M24.50,"contracture, unspecified joint"
375,4565,I862,I86.2,pelvic varices
376,59969,N139,N13.9,"obstructive and reflux uropathy, unspecified"
377,9580,T790XXA,T79.0,air embolism (traumatic)
378,3051,F17200,F17.20,"nicotine dependence, unspecified"
379,90451,S85139A,S85.13,unspecified injury of anterior tibial artery
380,8089,S329XXB,S32.9,fracture of unspecified parts of lumbosacral spine and pelvis
381,2913,F10951,F10.95,"alcohol use, unspecified with alcohol-induced psychotic disorder"
382,87211,S01329A,S01.32,laceration with foreign body of ear
383,V51,Z42.1,Z42.1,encounter for breast reconstruction following mastectomy
384,V0381,Z23,Z23,encounter for immunization
385,36903,H540X54,H54.0X,"blindness, both eyes, different category levels"
386,74331,Q120,Q12.0,congenital cataract
387,1124,B371,B37.1,pulmonary candidiasis
388,44323,I7773,I77.73,dissection of renal artery
389,E8342,V9339XA,V93.39,fall on board unspecified watercraft
390,5288,K135,K13.5,oral submucous fibrosis
391,07811,A630,A63.0,anogenital (venereal) warts
392,2334,D075,D07.5,carcinoma in situ of prostate
393,2511,E161,E16.1,other hypoglycemia
394,36510,H4010X4,H40.10,unspecified open-angle glaucoma
395,1040,A65,A65,nonvenereal syphilis
396,3509,G509,G50.9,"disorder of trigeminal nerve, unspecified"
397,V028,Z224,Z22.4,carrier of infections with a predominantly sexual mode of transmission
398,73712,M963,M96.3,postlaminectomy kyphosis
399,78932,R1902,R19.02,"left upper quadrant abdominal swelling, mass and lump"
400,30410,F1320,F13.20,"sedative, hypnotic or anxiolytic dependence, uncomplicated"
401,1458,C0689,C06.89,malignant neoplasm of overlapping sites of other parts of mouth
402,8055,S32009B,S32.00,fracture of unspecified lumbar vertebra
403,8950,S98229A,S98.22,partial traumatic amputation of two or more lesser toes
404,7867,R0989,R09.89,other specified symptoms and signs involving the circulatory and respiratory systems
405,1140,B380,B38.0,acute pulmonary coccidioidomycosis
406,33522,G1222,G12.22,progressive bulbar palsy
407,70721,L89.11,L89.11,pressure ulcer of right upper back
408,28489,D6189,D61.89,other specified aplastic anemias and other bone marrow failure syndromes
409,9726,T465X4A,T46.5X,"poisoning by, adverse effect of and underdosing of other antihypertensive drugs"
410,9125,S40869A,S40.86,insect bite (nonvenomous) of upper arm
411,53161,K56699,K56.69,other intestinal obstruction
412,0383,A414,A41.4,sepsis due to anaerobes
413,E9270,X500XXD,X50.0,overexertion from strenuous movement or load
414,80111,S02109A,S02.10,unspecified fracture of base of skull
415,29640,F3110,F31.10,"bipolar disorder, current episode manic without psychotic features, unspecified"
416,9914,T69029A,T69.02,immersion foot
417,5834,N059,N05.9,unspecified nephritic syndrome with unspecified morphologic changes
418,5081,J701,J70.1,chronic and other pulmonary manifestations due to radiation
419,74681,Q244,Q24.4,congenital subaortic stenosis
420,7265,M7620,M76.20,"iliac crest spur, unspecified hip"
421,V146,Z886,Z88.6,allergy status to analgesic agent
422,E8314,V9189XA,V91.89,other injury due to other accident to unspecified watercraft
423,36321,H3023,H30.23,"posterior cyclitis, bilateral"
424,6081,N4340,N43.40,"spermatocele of epididymis, unspecified"
425,4353,G450,G45.0,vertebro-basilar artery syndrome
426,E9394,T46.5X5A,T46.5X,"poisoning by, adverse effect of and underdosing of other antihypertensive drugs"
427,7574,Q842,Q84.2,other congenital malformations of hair
428,0663,A925,A92.5,zika virus disease
429,3536,G547,G54.7,phantom limb syndrome without pain
430,72704,M654,M65.4,radial styloid tenosynovitis [de quervain]
431,V4389,Z969,Z96.9,"presence of functional implant, unspecified"
432,7170,M23205,M23.20,derangement of unspecified meniscus due to old tear or injury
433,9722,T466X4A,T46.6X,"poisoning by, adverse effect of and underdosing of antihyperlipidemic and antiarteriosclerotic drugs"
434,68101,L03019,L03.01,cellulitis of finger
435,9519,S049XXA,S04.9,injury of unspecified cranial nerve
436,71110,M0230,M02.30,"reiter's disease, unspecified site"
