icd_9,icd_10
E888,R26.0
E8663,T50.8X
E8611,T47.0X
E8508,T42.8X
E8552,T44.3X
E9303,T36.3X
E8706,T81.530A
E8555,T44.5X
E9364,T45.4X5A
E9383,T50.9X5
E8586,T50.3X
E9452,T48.1X
5678,K65.2
5185,J96.1
E8641,T51.8X
E9322,T46.5X5A
E8698,T50.9X
E927,W19.XXX
E9457,T48.6X
E9323,T38.3X5A
E9390,T36.0X5A
7872,R11.10
E9496,T50.995A
E963,K08.52
E8703,T81.4
E9313,T42.0X
E9300,T36.0X5A
E9379,T42.75XA
V403,Z91.1
2387,D48.7
2873,D69.3
E9507,T54.2X
E9429,T46.8X5A
7796,P96.9
E8528,T50.991A
V461,Z99.8
E9352,T40.2X5A
7758,P92.9
E8581,T65.8X1
E8538,T40.2X5A
E8580,T38.8X1A
E9382,T41.0X5A
1736,C44.6
E9353,T39.09
76529,P07.39
E9538,X71.8
6002,N40.2
V854,Z68.4
E8717,T81.6
9998,T80.89XA
3580,G61.0
3238,G04.8
E8541,T42.3X1A
E9354,T39.3X5A
E915,W27.XXXA
E8669,T43.605A
2841,D61.9
3108,F07.9
7990,R99
V721,Z00.0
7473,Q25.4
6000,N40.0
8504,S06.0X9A
E9310,T37.0X
7863,R06.9
V174,Z15.09
E8702,Y63.2
E9384,T41.3X5A
E9357,T39.8X5A
E9317,T37.5X
V51,Z42.1
2554,E24.9
E8504,T43.0X5A
E9444,T45.615A
7955,R97.8
E9304,T36.4X5
E9343,T46.0X5
8502,S06.0X1A
E9324,T50.9X5
E8529,T39.3X1A
E9338,T50.9X5
5234,K05.3
E9351,T40.3X
E8718,Y65.8
3488,G93.9
E8542,T43.0X3A
E856,T43.1X2A
E911,W44.XXXA
E9292,V87.2
E9132,W22.XXA
V0261,Z20.1
E9410,T45.1X5A
6221,N80.1
E9348,T45.8X5A
E9051,W57.XXXA
E9430,T43.0X3A
6009,N40.3
E8716,Y65.8
6213,N81.9
E961,T54.93
E9806,T54.94
E8610,T55.1
E9272,T73.3
E9396,T40.99
488,J09.X1
E9442,T50.2X
E9802,P04.17
E914,T81.51
E9321,T38.7X
36574,H40.053
E9316,T37.4X5
E8629,T50.9X5
36571,H40.0X
E9435,T50.9X5
E9622,X92.0
E8559,T50.9X1A
E9461,T43.505A
E9446,T50.4X
E9468,T50.995A
E9469,T50.995A
E9059,T71.51XA
E9427,T46.4X5A
E9371,T42.3X
E9472,T50.995A
36572,H40.0X
E8642,T51.8X
E9341,T46.0X5
7800,R51
E9439,T50.9X5
V251,Z87.8
E8743,W44.1
E9409,T43.69
E9829,T50.9X5
E9450,T46.5X5A
E9473,T50.995A
E8652,T51.9
E9531,X71
E9465,T37.96
E9480,T50.8X
E9327,T38.1X
V127,Z86.19
E8701,T81.4
E995,Y09
E8745,T50.9X5
E903,W19.0XXA
E9432,T50.9X5
E8506,T40.4X
E8699,T50.9X
4880,J09.X1
E9454,T43.505A
E8530,T39.3X1A
E8531,T39.3X1A
E9539,X71
E9041,W19.0XXA
E9471,T50.995A
E9311,T37.1X
E8664,T50.8X
E9333,T50.9X5
E8509,T42.8X
E8615,T50.9X5
E9057,T71.51XA
E9528,X71
E9497,T50.995A
E9040,W19.0XXA
E8741,W27.XXA
E9049,W19.0XXA
E9807,T50.9X5
E8643,T51.8X
E9838,T50.9X5
E8689,T50.9X
E9043,W19.0XXA
E8719,T81.6
E9431,T50.9X5
E9055,T71.51XA
E8604,T50.8X1A
2398,D49.9
E8688,T50.9X
E8640,T51.8X
E9434,T47.5X
7889,R19.7
E8659,T51.9
E8715,T81.6
